id,title,sthalam,common_name,city,district,state,country,lat,lng,cluster_group,subcluster_group,marker_color,marker_icon,tooltip,popup_title,popup_html,audio_url,image_url,divyadesam_link
60,Thiruvedanthai - Sri Nithya Kalyana Perumal Temple,Thiruvedanthai,Nithya Kalyana Perumal,Mahabalipuram,Chengalpattu,Tamil Nadu,India,12.76337251,80.24199146,Tondai Nadu,Kanchi–Chennai Cluster,green,temple,Nithya Kalyana Perumal • Mahabalipuram,Thiruvedanthai - Sri Nithya Kalyana Perumal Temple,"<h3>Thiruvedanthai - Sri Nithya Kalyana Perumal Temple</h3><div><b>Location:</b> Mahabalipuram, Chengalpattu, Tamil Nadu, India</div><div><b>Cluster:</b> Tondai Nadu / Kanchi–Chennai Cluster</div>",,,
61,Thiru Kadalmalai (Mahabalipuram) - Sri Sthala Sayana Perumal Temple,Thiru Kadalmalai,Sthala Sayana Perumal,Mahabalipuram,Chengalpattu,Tamil Nadu,India,12.61762086,80.19301875,Tondai Nadu,Kanchi–Chennai Cluster,green,temple,Sthala Sayana Perumal • Mahabalipuram,Thiru Kadalmalai (Mahabalipuram) - Sri Sthala Sayana Perumal Temple,"<h3>Thiru Kadalmalai (Mahabalipuram) - Sri Sthala Sayana Perumal Temple</h3><div><b>Location:</b> Mahabalipuram, Chengalpattu, Tamil Nadu, India</div><div><b>Cluster:</b> Tondai Nadu / Kanchi–Chennai Cluster</div>",,,
62,Thiru Nindravoor (Thirunindravur) - Sri Bhatavatsala Perumal Temple,Thiru Nindravoor,Bhaktavatsala Perumal,Thirunindravur,Tiruvallur,Tamil Nadu,India,13.11267762,80.02612182,Tondai Nadu,Kanchi–Chennai Cluster,green,temple,Bhaktavatsala Perumal • Thirunindravur,Thiru Nindravoor (Thirunindravur) - Sri Bhatavatsala Perumal Temple,"<h3>Thiru Nindravoor (Thirunindravur) - Sri Bhatavatsala Perumal Temple</h3><div><b>Location:</b> Thirunindravur, Tiruvallur, Tamil Nadu, India</div><div><b>Cluster:</b> Tondai Nadu / Kanchi–Chennai Cluster</div>",,,
63,Thiruevvuloor (Tiruvallur) - Sri Veeraraghava Perumal Temple,Thiruevvuloor,Veeraraghava Perumal,Tiruvallur,Tiruvallur,Tamil Nadu,India,13.14350441,79.90724478,Tondai Nadu,Kanchi–Chennai Cluster,green,temple,Veeraraghava Perumal • Tiruvallur,Thiruevvuloor (Tiruvallur) - Sri Veeraraghava Perumal Temple,"<h3>Thiruevvuloor (Tiruvallur) - Sri Veeraraghava Perumal Temple</h3><div><b>Location:</b> Tiruvallur, Tiruvallur, Tamil Nadu, India</div><div><b>Cluster:</b> Tondai Nadu / Kanchi–Chennai Cluster</div>",,,
64,Thirukkadigai (Sholingur) - Sri Yoga Narasimha Swamy Temple,Thirukkadigai (Sholingur),Yoga Narasimhar,Sholingur,Ranipet,Tamil Nadu,India,13.09002031,79.41880514,Tondai Nadu,Kanchi–Chennai Cluster,green,temple,Yoga Narasimhar • Sholingur,Thirukkadigai (Sholingur) - Sri Yoga Narasimha Swamy Temple,"<h3>Thirukkadigai (Sholingur) - Sri Yoga Narasimha Swamy Temple</h3><div><b>Location:</b> Sholingur, Ranipet, Tamil Nadu, India</div><div><b>Cluster:</b> Tondai Nadu / Kanchi–Chennai Cluster</div>",,,
65,Thirukkoodal - Sri Koodal Azhagar Perumal Temple,Thirukkoodal,Koodal Azhagar,Madurai,Madurai,Tamil Nadu,India,9.914683105,78.11423268,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Koodal Azhagar • Madurai,Thirukkoodal - Sri Koodal Azhagar Perumal Temple,"<h3>Thirukkoodal - Sri Koodal Azhagar Perumal Temple</h3><div><b>Location:</b> Madurai, Madurai, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
66,Thiru Moghur - Sri Kaalamegha Perumal Temple,Thiru Moghur,Kalamegha Perumal,Madurai,Madurai,Tamil Nadu,India,9.950937267,78.20705748,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Kalamegha Perumal • Madurai,Thiru Moghur - Sri Kaalamegha Perumal Temple,"<h3>Thiru Moghur - Sri Kaalamegha Perumal Temple</h3><div><b>Location:</b> Madurai, Madurai, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
67,Thirumaalirunsolai (Alagar Kovil) - Sri Kallazhagar Perumal Temple,Thirumaalirunsolai,Azhagar Kovil,Madurai,Madurai,Tamil Nadu,India,10.07480861,78.21317042,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Azhagar Kovil • Madurai,Thirumaalirunsolai (Alagar Kovil) - Sri Kallazhagar Perumal Temple,"<h3>Thirumaalirunsolai (Alagar Kovil) - Sri Kallazhagar Perumal Temple</h3><div><b>Location:</b> Madurai, Madurai, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
68,Thirukkotiyoor - Sri Uraga Mellanayaan Perumal Temple,Thirukkotiyoor,Thirukoshtiyur,Sivaganga,Sivaganga,Tamil Nadu,India,10.06113363,78.5603866,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Thirukoshtiyur • Sivaganga,Thirukkotiyoor - Sri Uraga Mellanayaan Perumal Temple,"<h3>Thirukkotiyoor - Sri Uraga Mellanayaan Perumal Temple</h3><div><b>Location:</b> Sivaganga, Sivaganga, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
69,Thirumeyyam - Sri Sathyagiri Natha Perumal Temple,Thirumeyyam,Thirumeyyam,Pudukkottai,Pudukkottai,Tamil Nadu,India,10.24674648,78.75207237,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Thirumeyyam • Pudukkottai,Thirumeyyam - Sri Sathyagiri Natha Perumal Temple,"<h3>Thirumeyyam - Sri Sathyagiri Natha Perumal Temple</h3><div><b>Location:</b> Pudukkottai, Pudukkottai, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
70,Thiruppullanni (Ramanathapuram) - Sri Kalyana Jagannatha Perumal Temple,Thiruppullanni,Tirupullani,Ramanathapuram,Ramanathapuram,Tamil Nadu,India,9.283213399,78.82491192,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Tirupullani • Ramanathapuram,Thiruppullanni (Ramanathapuram) - Sri Kalyana Jagannatha Perumal Temple,"<h3>Thiruppullanni (Ramanathapuram) - Sri Kalyana Jagannatha Perumal Temple</h3><div><b>Location:</b> Ramanathapuram, Ramanathapuram, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
71,Thiruthankaal (Sivakasi) - Sri Nindra Narayana Perumal Temple,Thiruthankaal,Thiruthangal,Sivakasi,Virudhunagar,Tamil Nadu,India,9.482018412,77.81128081,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Thiruthangal • Sivakasi,Thiruthankaal (Sivakasi) - Sri Nindra Narayana Perumal Temple,"<h3>Thiruthankaal (Sivakasi) - Sri Nindra Narayana Perumal Temple</h3><div><b>Location:</b> Sivakasi, Virudhunagar, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
72,Thiruvilliputtur (Sri Villiputhoor) - Sri Vadabhatra Saayi Perumal Temple,Thiruvilliputtur,Srivilliputhur,Srivilliputhur,Virudhunagar,Tamil Nadu,India,9.516673635,77.62881119,Pandiya Nadu,Madurai–Ramanathapuram Cluster,blue,temple,Srivilliputhur • Srivilliputhur,Thiruvilliputtur (Sri Villiputhoor) - Sri Vadabhatra Saayi Perumal Temple,"<h3>Thiruvilliputtur (Sri Villiputhoor) - Sri Vadabhatra Saayi Perumal Temple</h3><div><b>Location:</b> Srivilliputhur, Virudhunagar, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Madurai–Ramanathapuram Cluster</div>",,,
73,Thiruvaikuntham (Sri Vaikundam) - Sri Vaikundanatha Perumal Temple,Thiruvaikuntham,Srivaikuntam,Srivaikuntam,Tirunelveli,Tamil Nadu,India,8.631440427,77.91013914,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Srivaikuntam • Srivaikuntam,Thiruvaikuntham (Sri Vaikundam) - Sri Vaikundanatha Perumal Temple,"<h3>Thiruvaikuntham (Sri Vaikundam) - Sri Vaikundanatha Perumal Temple</h3><div><b>Location:</b> Srivaikuntam, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
74,Thiruvaragunamangai - Sri Vijayaasana Perumal Temple,Thiruvaragunamangai,Natham (Varagunamangai),Natham,Tirunelveli,Tamil Nadu,India,8.637257228,77.92442815,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Natham (Varagunamangai) • Natham,Thiruvaragunamangai - Sri Vijayaasana Perumal Temple,"<h3>Thiruvaragunamangai - Sri Vijayaasana Perumal Temple</h3><div><b>Location:</b> Natham, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
75,Thiruppulingudu - Sri Kaaichina Vendha Perumal Temple,Thiruppulingudu,Thirupulingudi,Thirupulingudi,Tirunelveli,Tamil Nadu,India,8.640333145,77.93323643,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thirupulingudi • Thirupulingudi,Thiruppulingudu - Sri Kaaichina Vendha Perumal Temple,"<h3>Thiruppulingudu - Sri Kaaichina Vendha Perumal Temple</h3><div><b>Location:</b> Thirupulingudi, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
76,Thirukkulanthai - Sri Srinivasa Perumal Temple,Thirukkulanthai,Thenthiruperai/Perungulam region,Perungulam,Tirunelveli,Tamil Nadu,India,8.638084165,77.92461044,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thenthiruperai/Perungulam region • Perungulam,Thirukkulanthai - Sri Srinivasa Perumal Temple,"<h3>Thirukkulanthai - Sri Srinivasa Perumal Temple</h3><div><b>Location:</b> Perungulam, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
77,Thiruttholai Villimangalam (Twin Thirupathis) - Sri Aravindha Lochana Perumal Temple,Thiruttholai Villimangalam,Irattai Tirupati (Aravindalochanar),Tiruchendur belt,Thoothukudi,Tamil Nadu,India,8.612315841,77.97216969,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Irattai Tirupati (Aravindalochanar) • Tiruchendur belt,Thiruttholai Villimangalam (Twin Thirupathis) - Sri Aravindha Lochana Perumal Temple,"<h3>Thiruttholai Villimangalam (Twin Thirupathis) - Sri Aravindha Lochana Perumal Temple</h3><div><b>Location:</b> Tiruchendur belt, Thoothukudi, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
78,Thirupperai - Sri Magara NedungKuzhai Kaathar Perumal Temple,Thirupperai,Thenthiruperai,Thenthiruperai,Thoothukudi,Tamil Nadu,India,8.603879318,77.98667044,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thenthiruperai • Thenthiruperai,Thirupperai - Sri Magara NedungKuzhai Kaathar Perumal Temple,"<h3>Thirupperai - Sri Magara NedungKuzhai Kaathar Perumal Temple</h3><div><b>Location:</b> Thenthiruperai, Thoothukudi, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
79,Thirukkoloor - Sri Vaitha Maanitha Perumal Temple,Thirukkoloor,Thirukkolur,Thirukkolur,Thoothukudi,Tamil Nadu,India,8.610042427,77.97252974,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thirukkolur • Thirukkolur,Thirukkoloor - Sri Vaitha Maanitha Perumal Temple,"<h3>Thirukkoloor - Sri Vaitha Maanitha Perumal Temple</h3><div><b>Location:</b> Thirukkolur, Thoothukudi, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
80,Thirukkurugur (Alwar Thirunagiri) - Sri Aadhinatha Swamy Temple,Thirukkurugur,Alwar Thirunagari,Tirunagari,Thoothukudi,Tamil Nadu,India,8.607425199,77.93877021,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Alwar Thirunagari • Tirunagari,Thirukkurugur (Alwar Thirunagiri) - Sri Aadhinatha Swamy Temple,"<h3>Thirukkurugur (Alwar Thirunagiri) - Sri Aadhinatha Swamy Temple</h3><div><b>Location:</b> Tirunagari, Thoothukudi, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
81,Thiruvaramangai Vaanamaamalai (Nanguneri) - Sri Thothatrinatha Perumal Temple,Thiruvaramangai Vaanamaamalai,Nanguneri,Nanguneri,Tirunelveli,Tamil Nadu,India,8.492061798,77.65741911,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Nanguneri • Nanguneri,Thiruvaramangai Vaanamaamalai (Nanguneri) - Sri Thothatrinatha Perumal Temple,"<h3>Thiruvaramangai Vaanamaamalai (Nanguneri) - Sri Thothatrinatha Perumal Temple</h3><div><b>Location:</b> Nanguneri, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
82,Thirukkurungudi - Sri Nindra Nambi Perumal Temple,Thirukkurungudi,Thirukkurungudi,Thirukkurungudi,Tirunelveli,Tamil Nadu,India,8.436165932,77.56509025,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thirukkurungudi • Thirukkurungudi,Thirukkurungudi - Sri Nindra Nambi Perumal Temple,"<h3>Thirukkurungudi - Sri Nindra Nambi Perumal Temple</h3><div><b>Location:</b> Thirukkurungudi, Tirunelveli, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
83,Thiruvanparisaaram (Nagercoil) - Sri Kuralappa Perumal Temple,Thiruvanparisaaram,Thiruvattar Area (Thiruparisaram),Nagercoil,Kanyakumari,Tamil Nadu,India,8.222375152,77.45108467,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thiruvattar Area (Thiruparisaram) • Nagercoil,Thiruvanparisaaram (Nagercoil) - Sri Kuralappa Perumal Temple,"<h3>Thiruvanparisaaram (Nagercoil) - Sri Kuralappa Perumal Temple</h3><div><b>Location:</b> Nagercoil, Kanyakumari, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
84,Thiru Vattaaru (Marthandam) - Sri Aadhikesava Perumal Temple,Thiru Vattaaru,Thiruvattaru,Marthandam,Kanyakumari,Tamil Nadu,India,8.329980483,77.26609975,Pandiya Nadu,Tirunelveli–Kanyakumari Cluster,blue,temple,Thiruvattaru • Marthandam,Thiru Vattaaru (Marthandam) - Sri Aadhikesava Perumal Temple,"<h3>Thiru Vattaaru (Marthandam) - Sri Aadhikesava Perumal Temple</h3><div><b>Location:</b> Marthandam, Kanyakumari, Tamil Nadu, India</div><div><b>Cluster:</b> Pandiya Nadu / Tirunelveli–Kanyakumari Cluster</div>",,,
85,Thiruvananthapuram - Sri Anantha Padmanabhaswamy Temple,Thiruvananthapuram,Padmanabhaswamy,Thiruvananthapuram,Thiruvananthapuram,Kerala,India,8.482947207,76.94357215,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Padmanabhaswamy • Thiruvananthapuram,Thiruvananthapuram - Sri Anantha Padmanabhaswamy Temple,"<h3>Thiruvananthapuram - Sri Anantha Padmanabhaswamy Temple</h3><div><b>Location:</b> Thiruvananthapuram, Thiruvananthapuram, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
86,Thirupuliyoor (Chengannur) - Sri Maayapiran Perumal Temple,Thirupuliyoor,Puliyoor,Chengannur,Alappuzha,Kerala,India,9.302134658,76.58568709,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Puliyoor • Chengannur,Thirupuliyoor (Chengannur) - Sri Maayapiran Perumal Temple,"<h3>Thirupuliyoor (Chengannur) - Sri Maayapiran Perumal Temple</h3><div><b>Location:</b> Chengannur, Alappuzha, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
87,Thirucchenkundroor (Chengannur) - Sri Imayavarappa Perumal Temple,Thirucchenkundroor,Thiruchittattukara/Chennithala belt,Chengannur,Alappuzha,Kerala,India,9.326746844,76.60428251,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Thiruchittattukara/Chennithala belt • Chengannur,Thirucchenkundroor (Chengannur) - Sri Imayavarappa Perumal Temple,"<h3>Thirucchenkundroor (Chengannur) - Sri Imayavarappa Perumal Temple</h3><div><b>Location:</b> Chengannur, Alappuzha, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
88,Thiruvaaran Vilai (Aranmulla Temple) - Sri Parthasarathy Perumal Temple,Thiruvaaran Vilai,Aranmula Parthasarathy,Aranmula,Pathanamthitta,Kerala,India,9.32838686,76.68775299,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Aranmula Parthasarathy • Aranmula,Thiruvaaran Vilai (Aranmulla Temple) - Sri Parthasarathy Perumal Temple,"<h3>Thiruvaaran Vilai (Aranmulla Temple) - Sri Parthasarathy Perumal Temple</h3><div><b>Location:</b> Aranmula, Pathanamthitta, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
89,Thiruvanvandoor (Chengannur) - Sri Paambanaiyappa Perumal Temple,Thiruvanvandoor,Vanamamalai Appan (local),Chengannur,Alappuzha,Kerala,India,9.344047492,76.58062917,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Vanamamalai Appan (local) • Chengannur,Thiruvanvandoor (Chengannur) - Sri Paambanaiyappa Perumal Temple,"<h3>Thiruvanvandoor (Chengannur) - Sri Paambanaiyappa Perumal Temple</h3><div><b>Location:</b> Chengannur, Alappuzha, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
90,Thiruvalvaazh (Thiruvalla) - Sri Kolapira Perumal Temple,Thiruvalvaazh,Thiruvalla,Thiruvalla,Pathanamthitta,Kerala,India,9.376340558,76.56291767,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Thiruvalla • Thiruvalla,Thiruvalvaazh (Thiruvalla) - Sri Kolapira Perumal Temple,"<h3>Thiruvalvaazh (Thiruvalla) - Sri Kolapira Perumal Temple</h3><div><b>Location:</b> Thiruvalla, Pathanamthitta, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
91,Thirukkadithaanam (Changanassery) - Sri Athpudha Narayana Perumal Temple,Thirukkadithaanam,Kadithanam,Changanassery,Kottayam,Kerala,India,9.442099559,76.564396,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Kadithanam • Changanassery,Thirukkadithaanam (Changanassery) - Sri Athpudha Narayana Perumal Temple,"<h3>Thirukkadithaanam (Changanassery) - Sri Athpudha Narayana Perumal Temple</h3><div><b>Location:</b> Changanassery, Kottayam, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
92,"Thirukkaatkarai (Near Ernakulam, Edapally) - Sri Kaatkarai Appa Perumal Temple",Thirukkaatkarai,Trikkakara (Vamana),Edapally/Ernakulam,Ernakulam,Kerala,India,10.03560343,76.3299139,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Trikkakara (Vamana) • Edapally/Ernakulam,"Thirukkaatkarai (Near Ernakulam, Edapally) - Sri Kaatkarai Appa Perumal Temple","<h3>Thirukkaatkarai (Near Ernakulam, Edapally) - Sri Kaatkarai Appa Perumal Temple</h3><div><b>Location:</b> Edapally/Ernakulam, Ernakulam, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
93,Thirumoozhikkalam (Near Cochin Int Airport) - Sri Moozhikkalathaan Perumal Temple,Thirumoozhikkalam,Thirumoozhikulam,Aluva,Ernakulam,Kerala,India,10.04067253,76.331081,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Thirumoozhikulam • Aluva,Thirumoozhikkalam (Near Cochin Int Airport) - Sri Moozhikkalathaan Perumal Temple,"<h3>Thirumoozhikkalam (Near Cochin Int Airport) - Sri Moozhikkalathaan Perumal Temple</h3><div><b>Location:</b> Aluva, Ernakulam, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
94,"Thiruvithuvakkodu (Near Thrissur, Pattambi) - Sri Uyyavantha Perumal Temple",Thiruvithuvakkodu,Thiruvithuvaankodu,Pattambi,Palakkad,Kerala,India,10.7832459,76.18452181,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Thiruvithuvaankodu • Pattambi,"Thiruvithuvakkodu (Near Thrissur, Pattambi) - Sri Uyyavantha Perumal Temple","<h3>Thiruvithuvakkodu (Near Thrissur, Pattambi) - Sri Uyyavantha Perumal Temple</h3><div><b>Location:</b> Pattambi, Palakkad, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
95,Thiru Naavaay (Near Kuttippuram) - Sri Naavaay Mugundha Perumal Temple,Thiru Naavaay,Tirunavaya,Kuttippuram,Malappuram,Kerala,India,10.86395239,75.98161961,Malai Nadu (Kerala),Kerala Cluster,purple,temple,Tirunavaya • Kuttippuram,Thiru Naavaay (Near Kuttippuram) - Sri Naavaay Mugundha Perumal Temple,"<h3>Thiru Naavaay (Near Kuttippuram) - Sri Naavaay Mugundha Perumal Temple</h3><div><b>Location:</b> Kuttippuram, Malappuram, Kerala, India</div><div><b>Cluster:</b> Malai Nadu (Kerala) / Kerala Cluster</div>",,,
96,"Tirupathi (Tirumala, Andhra Pradesh) - Sri Srinivasa Perumal Temple",Tirumala,Tirupati,Tirupati,Tirupati,Andhra Pradesh,India,13.8401521,79.33176014,Vada Nadu (South Deccan),Andhra–Karnataka Cluster,teal,temple,Tirupati • Tirupati,"Tirupathi (Tirumala, Andhra Pradesh) - Sri Srinivasa Perumal Temple","<h3>Tirupathi (Tirumala, Andhra Pradesh) - Sri Srinivasa Perumal Temple</h3><div><b>Location:</b> Tirupati, Tirupati, Andhra Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (South Deccan) / Andhra–Karnataka Cluster</div>",,,
97,"Thiru Singavel Kundram (Ahobilam, Andhra Pradesh) - Sri Nava Narasimhar Temple",Ahobilam,Ahobilam,Allagadda/Ahobilam,Nandyal,Andhra Pradesh,India,15.13687997,78.67174149,Vada Nadu (South Deccan),Andhra–Karnataka Cluster,teal,temple,Ahobilam • Allagadda/Ahobilam,"Thiru Singavel Kundram (Ahobilam, Andhra Pradesh) - Sri Nava Narasimhar Temple","<h3>Thiru Singavel Kundram (Ahobilam, Andhra Pradesh) - Sri Nava Narasimhar Temple</h3><div><b>Location:</b> Allagadda/Ahobilam, Nandyal, Andhra Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (South Deccan) / Andhra–Karnataka Cluster</div>",,,
98,"Thiru Dwaraka (Dwaraka, Gujarat) - Sri Kalyana Narayana Perumal Temple",Dwarka,Dwarka,Dwarka,Devbhumi Dwarka,Gujarat,India,22.23782117,68.96741537,Vada Nadu (North India),North India Cluster,pink,temple,Dwarka • Dwarka,"Thiru Dwaraka (Dwaraka, Gujarat) - Sri Kalyana Narayana Perumal Temple","<h3>Thiru Dwaraka (Dwaraka, Gujarat) - Sri Kalyana Narayana Perumal Temple</h3><div><b>Location:</b> Dwarka, Devbhumi Dwarka, Gujarat, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
99,Thiru Ayodhi - Sri Ramar Temple,Ayodhya,Ayodhya,Ayodhya,Ayodhya,Uttar Pradesh,India,26.78860931,82.20090292,Vada Nadu (North India),North India Cluster,pink,temple,Ayodhya • Ayodhya,Thiru Ayodhi - Sri Ramar Temple,"<h3>Thiru Ayodhi - Sri Ramar Temple</h3><div><b>Location:</b> Ayodhya, Ayodhya, Uttar Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
100,Thiru Naimisaranyam - Sri Devaraja Perumal Temple,Naimisaranyam,Nimsar,Sitapur,Sitapur,Uttar Pradesh,India,27.35010939,80.48340505,Vada Nadu (North India),North India Cluster,pink,temple,Nimsar • Sitapur,Thiru Naimisaranyam - Sri Devaraja Perumal Temple,"<h3>Thiru Naimisaranyam - Sri Devaraja Perumal Temple</h3><div><b>Location:</b> Sitapur, Sitapur, Uttar Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
101,Thiruvaaipadi (Aayarpadi) - Sri Navamohana Krishna Perumal Temple,Aayarpadi,Gokul/Vrindavan region,Mathura,Mathura,Uttar Pradesh,India,27.35009012,80.48330819,Vada Nadu (North India),North India Cluster,pink,temple,Gokul/Vrindavan region • Mathura,Thiruvaaipadi (Aayarpadi) - Sri Navamohana Krishna Perumal Temple,"<h3>Thiruvaaipadi (Aayarpadi) - Sri Navamohana Krishna Perumal Temple</h3><div><b>Location:</b> Mathura, Mathura, Uttar Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
102,Thiru Vadamathura (Govardhanesan) - Sri Govardhana Nesa Perumal Temple,Vadamathura,Govardhan,Mathura,Mathura,Uttar Pradesh,India,27.35009012,80.48337256,Vada Nadu (North India),North India Cluster,pink,temple,Govardhan • Mathura,Thiru Vadamathura (Govardhanesan) - Sri Govardhana Nesa Perumal Temple,"<h3>Thiru Vadamathura (Govardhanesan) - Sri Govardhana Nesa Perumal Temple</h3><div><b>Location:</b> Mathura, Mathura, Uttar Pradesh, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
103,Thirukkandam (Devaprayag) - Sri Neelamega Perumal Temple,Thirukkandam,Devaprayag,Devaprayag,Tehri Garhwal,Uttarakhand,India,30.1463147,78.59865221,Vada Nadu (North India),North India Cluster,pink,temple,Devaprayag • Devaprayag,Thirukkandam (Devaprayag) - Sri Neelamega Perumal Temple,"<h3>Thirukkandam (Devaprayag) - Sri Neelamega Perumal Temple</h3><div><b>Location:</b> Devaprayag, Tehri Garhwal, Uttarakhand, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
104,Thiruppirudhi (Joshimutt) - Sri Paramapurusha Perumal Temple,Thiruppirudhi,Joshimath,Joshimath,Chamoli,Uttarakhand,India,30.55640574,79.56646722,Vada Nadu (North India),North India Cluster,pink,temple,Joshimath • Joshimath,Thiruppirudhi (Joshimutt) - Sri Paramapurusha Perumal Temple,"<h3>Thiruppirudhi (Joshimutt) - Sri Paramapurusha Perumal Temple</h3><div><b>Location:</b> Joshimath, Chamoli, Uttarakhand, India</div><div><b>Cluster:</b> Vada Nadu (North India) / North India Cluster</div>",,,
